Campaign_Name,Target_Segment,Impressions,Clicks,Spend,Conversions,Revenue
브랜드인지_봄시즌,2030직장인,179961,4361,820000,231,861000
브랜드인지_봄시즌,프리랜서,185478,6707,1060941,70,900016
퍼포먼스_앱설치,2030직장인,284455,9052,1676965,909,3539050
퍼포먼스_앱설치,장비덕후,584514,18656,501761,1884,1558134
퍼포먼스_앱설치,대학생,265056,5276,1393587,571,2431625
리타겟팅_장바구니,2030직장인,931087,23527,446993,560,1258170
리타겟팅_장바구니,프리랜서,1113231,48757,1371200,3932,3120363
신제품런칭_영상,장비덕후,971161,15456,438311,540,1374478
신제품런칭_영상,2030직장인,1133142,43976,854415,3827,1724770
신제품런칭_영상,육아맘,939985,35509,1518196,1868,3386582
검색광고_브랜드키워드,2030직장인,348304,4587,1266592,146,2286393
검색광고_브랜드키워드,프리랜서,972463,31701,1442032,2775,2838549
디스플레이_관심사,장비덕후,702324,23293,890978,526,2792968
디스플레이_관심사,대학생,812960,20949,710000,1672,887500
인플루언서_협찬,2030직장인,181434,3491,1059468,46,2230924
인플루언서_협찬,육아맘,1180667,27291,480502,2834,1050930
CRM_이메일연동,프리랜서,1000275,18416,217948,778,413480
CRM_이메일연동,2030직장인,221434,8193,1055814,680,2200813
유튜브_인스트림,장비덕후,548113,8601,1487554,171,4727279
유튜브_인스트림,대학생,860383,9917,640000,265,716800
카카오모먼트_전환,2030직장인,635100,14034,869542,605,1948815
카카오모먼트_전환,육아맘,760060,8545,727845,196,2015779
틱톡_바이럴,대학생,490215,12733,1646415,1484,2873201
틱톡_바이럴,2030직장인,372476,9172,1324375,366,2473235
네이버GFA_리치미디어,프리랜서,580666,14437,1636372,465,2754953
네이버GFA_리치미디어,장비덕후,985700,19449,1093088,1817,3471177
오프라인연동_QR,2030직장인,822893,25682,845916,1906,1907449
오프라인연동_QR,프리랜서,784194,18338,261866,267,470414
시즌세일_프로모션,육아맘,290812,3881,674166,82,1665267
시즌세일_프로모션,2030직장인,968701,40907,406596,3023,830597
브랜드검색_경쟁사대응,장비덕후,765946,9399,1112738,592,3589902
브랜드검색_경쟁사대응,2030직장인,152751,3972,258986,254,636193
